Index,FP32_Value,INT8_Value
69196,0.036888443,2.0
38334,0.071552314,5.0
90765,0.07396449,5.0
18088,-0.008279111,-1.0
58822,0.006881514,0.0
83945,0.0040955544,0.0
3469,0.0048835827,0.0
4559,-0.028540209,-2.0
30493,-0.007032216,-0.0
54081,0.067574196,4.0
15966,0.071237594,5.0
20573,-0.53646266,-34.0
85739,0.07277093,5.0
41050,-0.06802778,-4.0
16075,-0.12358711,-8.0
26797,-0.01347636,-1.0
9633,-0.17620014,-11.0
25936,-0.16103661,-10.0
45947,-0.073946975,-5.0
6003,0.04599244,3.0
36899,0.08410394,5.0
26377,0.063024774,4.0
94199,0.066287234,4.0
89957,-0.06785812,-4.0
27352,-0.0248901,-2.0
68863,-0.07925575,-5.0
87800,0.10731388,7.0
77593,-0.103629686,-7.0
59917,-0.15865295,-10.0
83356,0.08252962,5.0
53517,0.098299675,6.0
43928,0.02462907,2.0
55363,-0.0710702,-5.0
30583,-0.021653892,-1.0
53362,-0.016247993,-1.0
54794,-0.036908086,-2.0
95171,0.027325911,2.0
23193,0.15378109,10.0
54483,-0.13776594,-9.0
8088,-0.029021103,-2.0
58999,0.0038450807,0.0
65844,0.029102309,2.0
46325,-0.22773711,-15.0
46102,0.03191382,2.0
62364,-0.10694398,-7.0
18349,-0.007207936,-0.0
62572,-0.06692822,-4.0
72484,-0.23316891,-15.0
1316,-0.0072546364,-0.0
82643,0.13075835,8.0
48977,-0.023386465,-1.0
75631,-0.14600106,-9.0
83110,-0.01932206,-1.0
93441,0.20263034,13.0
49081,-0.1707359,-11.0
92558,-0.04050325,-3.0
71674,0.06477332,4.0
72495,0.018526526,1.0
68647,0.10145585,6.0
24195,-0.05290551,-3.0
52712,0.013587208,1.0
65869,-0.03255046,-2.0
53947,-0.06554228,-4.0
70704,0.14733917,9.0
95675,-0.005152856,-0.0
27296,-0.030439164,-2.0
42228,-0.07103117,-5.0
97857,0.0073027997,0.0
35431,-0.16036907,-10.0
99086,-0.027381992,-2.0
27114,0.005688783,0.0
39121,0.10528259,7.0
6438,0.046052545,3.0
55269,0.15054086,10.0
32691,-0.035391737,-2.0
13800,0.23969924,15.0
43737,-0.021895686,-1.0
26197,0.16403034,10.0
71573,0.1559822,10.0
29615,-0.10199613,-7.0
60879,0.26201788,17.0
32095,0.24454574,16.0
6684,0.14931855,10.0
97301,0.00468077,0.0
23135,0.029397562,2.0
42328,0.14208852,9.0
49023,0.07816462,5.0
13208,0.11030853,7.0
22293,-0.078865275,-5.0
99160,-0.026962759,-2.0
85299,0.06392279,4.0
67765,-0.14726849,-9.0
30203,-0.009832098,-1.0
85909,0.23215595,15.0
58772,0.021865897,1.0
52064,-0.12541519,-8.0
41814,0.02399632,2.0
42974,0.013941588,1.0
84605,-0.024329547,-2.0
33219,-0.086916365,-6.0
60271,0.011330212,1.0
77429,0.10763707,7.0
29196,-0.12695429,-8.0
3861,0.22283082,14.0
31175,-0.0043752906,-0.0
17365,0.020720858,1.0
52185,0.011727505,1.0
67676,-0.019315667,-1.0
95074,0.05194859,3.0
54598,-0.090930365,-6.0
45687,-0.008149969,-1.0
40039,-0.0034876126,-0.0
97985,-0.017444475,-1.0
48036,-0.013367817,-1.0
21869,0.029553981,2.0
51104,-0.11457165,-7.0
4187,-0.0027126076,-0.0
64784,0.068037696,4.0
80299,0.16936739,11.0
54113,0.027183807,2.0
28109,0.13535824,9.0
72133,0.018141551,1.0
59258,-0.09075037,-6.0
21939,0.095476896,6.0
84547,0.023922846,2.0
6853,-0.17768826,-11.0
20101,-0.22475395,-14.0
99374,-0.00026811875,-0.0
64822,0.05366135,3.0
35373,0.065723136,4.0
69501,-0.107002474,-7.0
78650,-0.0031264673,-0.0
72419,0.13743225,9.0
58977,-0.36016515,-23.0
76851,0.021189662,1.0
59023,-0.07807807,-5.0
76158,-0.094216555,-6.0
87992,0.36068034,23.0
56224,-0.00906883,-1.0
30404,-0.016150156,-1.0
3074,0.02224517,1.0
80340,-0.18102947,-12.0
43697,0.11317533,7.0
91111,0.01323388,1.0
