time,ch1,ch2,ch3,ch4,ch5,ch1_Spike,ch2_Spike,ch3_Spike,ch4_Spike,ch5_Spike
0.12974,0.030977,0.036477,-0.013928,-0.003573,0.005719,0,0,0,0,0
0.129742,0.032271,0.041654,-0.013604,-0.003896,0.005395,0,0,0,0,0
0.129744,0.032918,0.046184,-0.013604,-0.00519,0.005072,0,0,0,0,0
0.129746,0.034212,0.051362,-0.013281,-0.00616,0.004101,0,0,0,0,0
0.129748,0.034536,0.054921,-0.012957,-0.00713,0.003777,0,0,0,0,0
0.12975,0.03486,0.056539,-0.012634,-0.007453,0.003777,0,0,0,0,0
0.129752,0.034536,0.058481,-0.012634,-0.00907,0.003454,0,0,0,0,0
0.129754,0.033889,0.060099,-0.012634,-0.010041,0.004425,0,0,0,0,0
0.129756,0.033242,0.064305,-0.011987,-0.011011,0.004748,0,0,0,0,0
0.1297579999999999,0.032595,0.068835,-0.011663,-0.011334,0.004748,0,0,0,0,0
0.12976,0.031948,0.073366,-0.011016,-0.012628,0.004101,0,0,0,0,0
0.129762,0.031624,0.077896,-0.01037,-0.013274,0.00313,0,0,0,0,0
0.129764,0.031624,0.082426,-0.009723,-0.013598,0.001512,0,0,0,0,0
0.129766,0.031301,0.085015,-0.009076,-0.014245,-0.000106,0,0,0,0,0
0.129768,0.030653,0.085662,-0.008429,-0.013598,-0.001401,0,0,0,0,0
0.12977,0.029683,0.084691,-0.007458,-0.013274,-0.002048,0,0,0,0,0
0.129772,0.028389,0.084044,-0.006488,-0.012304,-0.002048,0,0,0,0,0
0.129774,0.027418,0.082102,-0.004871,-0.011657,-0.001401,0,0,0,0,0
0.129776,0.026124,0.080484,-0.0039,-0.011334,-0.00043,0,0,0,0,0
0.129778,0.026124,0.079837,-0.002283,-0.011334,0.000541,0,0,0,0,0
0.12978,0.026771,0.078219,-0.000989,-0.011657,0.001188,0,0,0,0,0
0.129782,0.027742,0.076601,0.000628,-0.011981,0.001836,0,0,0,0,0
0.129784,0.029359,0.072718,0.001922,-0.013274,0.002159,0,0,0,0,0
0.129786,0.03033,0.068835,0.003216,-0.012951,0.003777,0,0,0,0,0
0.129788,0.030977,0.064629,0.004186,-0.012951,0.005395,0,0,0,0,0
0.12979,0.030977,0.059775,0.00548,-0.011981,0.007337,0,0,0,0,0
0.129792,0.03033,0.055245,0.00645,-0.011657,0.009926,0,0,0,0,0
0.129794,0.029359,0.051362,0.007097,-0.011011,0.012515,0,0,0,0,0
